y,x,h,alpha,board,type,vy,vx
0.00000,0.00000,100.00000,4,ugol_4,fixed,-0.00000,1.10861
0.00000,0.75000,99.16855,4,h_bottom,zero_gradient,-0.00000,1.26114
0.00000,1.50000,98.22269,4,h_bottom,zero_gradient,-0.00000,1.13359
0.00000,2.25000,97.37250,4,h_bottom,zero_gradient,-0.00000,3.16333
0.00000,3.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,3.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,4.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,5.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,6.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,6.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,7.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,8.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,9.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,9.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,10.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,11.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,12.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,12.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,13.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,14.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,15.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,15.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,16.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,17.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,18.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,18.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,19.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,20.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,21.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,21.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,22.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,23.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,24.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,24.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,25.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,26.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,27.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,27.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,28.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,29.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,30.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,30.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,31.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,32.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,33.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,33.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,34.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,35.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,36.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,36.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,37.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,38.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,39.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,39.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,40.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,41.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,42.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,42.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,43.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,44.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,45.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,45.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,46.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,47.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,48.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,48.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,49.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,50.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,51.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,51.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,52.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,53.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,54.00000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,54.75000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,55.50000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,56.25000,95.00000,4,no,fixed,-0.00000,-0.00000
0.00000,57.00000,95.00000,4,no,fixed,-0.00000,-0.00000
